Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Sep 12, 2022",34.97,38.17,34.51,37.42,37.42,"1,701,399,970",Solana (SOL)
"Sep 11, 2022",35.12,35.90,34.12,34.97,34.97,"757,216,096",Solana (SOL)
"Sep 10, 2022",34.73,35.36,34.37,35.13,35.13,"731,145,106",Solana (SOL)
"Sep 9, 2022",33.61,35.80,33.61,34.74,34.74,"1,186,140,934",Solana (SOL)
"Sep 8, 2022",32.71,33.80,32.10,33.61,33.61,"978,070,646",Solana (SOL)
"Sep 7, 2022",30.88,32.90,30.49,32.71,32.71,"779,212,909",Solana (SOL)
"Sep 6, 2022",32.20,33.79,30.64,30.89,30.89,"1,196,204,019",Solana (SOL)
"Sep 5, 2022",32.11,32.37,31.21,32.19,32.19,"512,588,616",Solana (SOL)
"Sep 4, 2022",31.11,32.14,31.08,32.11,32.11,"392,954,663",Solana (SOL)
"Sep 3, 2022",31.23,31.23,30.86,31.11,31.11,"314,531,753",Solana (SOL)
"Sep 2, 2022",31.58,32.36,30.84,31.23,31.23,"659,575,995",Solana (SOL)
"Sep 1, 2022",31.48,31.71,30.51,31.59,31.59,"666,487,074",Solana (SOL)
"Aug 31, 2022",31.42,32.88,31.24,31.47,31.47,"769,308,937",Solana (SOL)
"Aug 30, 2022",32.46,33.07,30.80,31.41,31.41,"861,409,804",Solana (SOL)
"Aug 29, 2022",30.39,32.52,30.12,32.47,32.47,"891,913,484",Solana (SOL)
"Aug 28, 2022",31.54,32.13,30.39,30.39,30.39,"562,501,615",Solana (SOL)
"Aug 27, 2022",31.71,32.21,30.95,31.54,31.54,"764,882,265",Solana (SOL)
"Aug 26, 2022",35.31,35.58,31.50,31.73,31.73,"1,315,871,629",Solana (SOL)
"Aug 25, 2022",34.96,36.42,34.93,35.32,35.32,"828,503,624",Solana (SOL)
"Aug 24, 2022",35.65,36.29,34.43,34.96,34.96,"946,325,778",Solana (SOL)
"Aug 23, 2022",35.48,36.05,34.31,35.65,35.65,"854,779,221",Solana (SOL)
"Aug 22, 2022",36.53,36.53,33.90,35.47,35.47,"1,139,846,770",Solana (SOL)
"Aug 21, 2022",35.26,36.98,34.78,36.53,36.53,"982,071,275",Solana (SOL)
"Aug 20, 2022",35.88,37.22,34.36,35.27,35.27,"1,203,622,743",Solana (SOL)
"Aug 19, 2022",39.54,39.54,35.76,35.89,35.89,"1,821,467,945",Solana (SOL)
"Aug 18, 2022",40.43,41.61,39.53,39.55,39.55,"885,648,540",Solana (SOL)
"Aug 17, 2022",43.15,44.63,40.29,40.40,40.40,"1,336,772,691",Solana (SOL)
"Aug 16, 2022",43.81,44.19,42.78,43.16,43.16,"1,131,452,045",Solana (SOL)
"Aug 15, 2022",44.92,47.13,42.91,43.82,43.82,"1,364,253,429",Solana (SOL)
"Aug 14, 2022",46.51,47.96,44.69,44.92,44.92,"1,061,034,922",Solana (SOL)
"Aug 13, 2022",45.34,48.18,45.34,46.49,46.49,"1,416,039,040",Solana (SOL)
"Aug 12, 2022",42.82,45.38,42.23,45.33,45.33,"1,128,246,063",Solana (SOL)
"Aug 11, 2022",42.37,45.12,42.37,42.82,42.82,"1,735,349,568",Solana (SOL)
"Aug 10, 2022",40.37,42.61,39.26,42.37,42.37,"1,389,333,742",Solana (SOL)
"Aug 9, 2022",42.18,42.70,39.94,40.37,40.37,"895,263,875",Solana (SOL)
"Aug 8, 2022",40.61,43.54,40.60,42.17,42.17,"1,117,550,363",Solana (SOL)
"Aug 7, 2022",40.06,41.49,39.34,40.61,40.61,"614,104,051",Solana (SOL)
"Aug 6, 2022",40.56,40.85,39.95,40.06,40.06,"650,997,770",Solana (SOL)
"Aug 5, 2022",38.82,41.17,38.80,40.56,40.56,"1,198,859,111",Solana (SOL)
"Aug 4, 2022",38.54,39.68,38.04,38.83,38.83,"1,235,137,178",Solana (SOL)
